CPU,CPU Power Mode: Cortex-A78,C1 IDLE State (WFI),"The CPU Power Mode: Cortex-A78 subcategory features the C1 IDLE State (WFI), a power-saving state where the CPU enters a low-power mode by freezing all execution and entering a wait-for-interrupt (WFI) state."
CPU,SMP,Symmetric multiprocessing,Symmetric multiprocessing (SMP) refers to a CPU architecture where multiple processing units work together simultaneously to process tasks concurrently and share system resources symmetrically.
CPU,CPU Hotplug,Dynamic CPU Hotplug,"Dynamic CPU Hotplug allows for adding or removing CPUs dynamically at runtime, enabling flexible and efficient resource allocation and utilization in automotive systems that require variable processing power."
Connectivity,N930,Crash Dump,"The Connectivity: N930 - Crash Dump is a diagnostic feature that captures and stores critical system information, such as memory dumps, CPU registers, and kernel stacks, in the event of a system crash or failure to facilitate efficient troubleshooting and debugging."
Connectivity,N931,N930 Bootloader,"The N930 Bootloader refers to a proprietary firmware that initializes and boots the Linux-based system on automotive infotainment devices, allowing for secure loading of software images and configuration settings."
Connectivity,N932,N930 Main Binary,"The ""N930 Main Binary"" is the primary executable file that runs on the vehicle's internal network, enabling communication between various automotive systems and devices."
Connectivity,N930 Interface IPC,Configure Reserved Memory for sharing with N930,"Configure Reserved Memory allows developers to allocate and reserve specific memory regions for use by the N930 interface, enabling efficient data transfer and communication between the Linux system and the N930's internal processing units."
Connectivity,N930 Interface IPC,Control N930 On/Off/Reset,"Control N930 On/Off/Reset: A feature that enables or disables the communication interface between the vehicle's internal controller and external devices through a serial bus protocol, allowing for the transfer of data and commands."
Connectivity,N930 Interface IPC,Device Power Management,"The ""Device Power Management"" term within the Connectivity > N930 Interface IPC subcategory refers to the system's ability to dynamically manage power consumption of connected devices and peripherals to optimize energy efficiency while maintaining performance and reliability."
Connectivity,N930 Interface IPC,Tx/Rx via. PCIe link device,"The transmission (Tx) and reception (Rx) of data via the N930 interface occur through a PCIe link device, facilitating high-speed communication between automotive systems."
Connectivity,PCIe Single SoC,PCIe RC,"The PCIe Root Complex (RC) is a component that enables a Linux-based automotive system to communicate with peripherals and other devices through the Peripheral Component Interconnect Express (PCIe) bus, providing a high-speed interface for data transfer."
Connectivity,PCIe Single SoC,PCIe Bifurcartion(RC),"In the context of PCIe Single SoC connectivity, PCIe bifurcation (RC) is a technology that enables multiple devices to be connected to a single PCIe root complex."
Connectivity,PCIe Single SoC,PCIe EP,"A PCIe EP is an Endpoint device that enables communication with other devices on the PCIe bus, providing a high-speed interface for data transfer in automotive applications."
Connectivity,PCIe Single SoC,PCIe Bifurcartion(EP),"The PCIe bifurcation (EP) is an architectural feature that enables a Peripheral Component Interconnect Express (PCIe) endpoint to be split into multiple downstream devices, allowing for efficient communication and data transfer in automotive systems."
Connectivity,PCIe Mutli SoC,Link training and link up,"Link training and link up: The process by which PCIe Multi-SOC systems establish and optimize communication between multiple System-on-Chip (SoC) devices on a single Peripheral Component Interconnect Express (PCIe) lane, ensuring reliable data transfer and minimizing errors."
Connectivity,PCIe Mutli SoC,Dislink,"The ""Dislink"" feature enables the efficient handling of multiple PCIe interfaces on a Multi-SoC (System-on-Chip) platform by minimizing latency and maximizing bandwidth through intelligent link management and dynamic reconfiguration."
Connectivity,PCIe Mutli SoC,Doorbell,"In the context of PCIe Multi-SOC connectivity, the Doorbell refers to a signaling mechanism used by devices to request attention from other devices on the same bus, facilitating communication and data transfer between them."
Connectivity,PCIe Mutli SoC,MSI/MSI-X,"""Message Signaled Interrupts (MSI) and Message Signaled Interrupts eXtended (MSI-X) are PCIe bus features that enable interrupt signaling between the Peripheral Component Interconnect Express (PCIe) bus and the processor, allowing for more efficient and scalable system designs in automotive applications."""
Connectivity,PCIe Mutli SoC,DMA,"""DMA (Direct Memory Access): In PCIe Multi-SOC connectivity, DMA enables external devices to directly access and manipulate memory without involving the CPU, improving data transfer efficiency and reducing system latency."""
Connectivity,PCIe Mutli SoC,SCD,"""SCD (Single-Chip Controller) refers to a device that integrates multiple peripherals and controllers for automotive connectivity purposes within the PCIe Multi-SOC architecture."""
Connectivity,PCIe Mutli SoC,vEthernet over SCD,"""vEthernet over SCD is a technology that enables virtual Ethernet networking over Scalable Coherent Interface (SCI), allowing multiple System-on-Chip (SoC) devices to communicate efficiently in automotive systems."""
Connectivity,PCIe Switch,TO BE DONE,"A PCIe switch enables connection and routing of multiple peripherals and devices through a single PCIe link, allowing for improved system scalability and flexibility in automotive applications."
Connectivity,USB,Android ADB support,The connectivity/USB/Android ADB Support feature enables developers to remotely debug and access Android-based infotainment systems on Linux-based automotive platforms using the Android Debug Bridge (ADB) protocol.
Connectivity,USB,Linux ADB Support,"Linux ADB (Android Debug Bridge) support enables developers to debug and communicate with Android-based automotive infotainment systems via USB connection, facilitating the development and testing of connected car features."
Connectivity,USB,HUB,"A USB HUB is a device that connects multiple USB devices to a single host computer or controller, increasing the number of available USB ports and enhancing data transfer capabilities."
Connectivity,USB,Input Device (Keyboard Mouse),"The ""Input Device (Keyboard Mouse)"" is a USB-based connectivity feature that enables the integration of keyboard and mouse devices with automotive systems for input and control purposes."
Connectivity,USB,Mass Storage,"The Connectivity/USB/Mass Storage term is defined as: ""A USB feature that enables devices to store and retrieve data on mass storage media, such as flash drives or external hard drives, allowing for the transfer of large amounts of data between devices."""
Connectivity,USB,MTP MEDIA TRANSFER PROTOCOL,"The Media Transfer Protocol (MTP) is a standardized protocol for transferring media files between devices over USB, allowing for the exchange of music, video, and other digital content."
Connectivity,USB,USB Host Device Configuration,"The USB Host Device Configuration refers to the process by which the host system (such as an automotive infotainment unit) determines and configures the type of device connected via a USB port, allowing for communication between the two devices."
Connectivity,USB,xHCI,The xHCI (eXtensible Host Controller Interface) is a high-speed USB controller interface protocol that enables faster data transfer rates and support for new USB devices on Linux-based automotive systems.
Connectivity,Ethernet,Packet/Multi Channel Packet Tx/Rx,"The transmission and reception of multiple Ethernet packets simultaneously using a single interface, allowing for increased bandwidth and reduced latency in automotive systems that require high-speed data exchange."
Connectivity,Ethernet,Link up (ping test loopback),"The process of verifying that an Ethernet connection is operational by sending a ping command to the device's loopback address and receiving a response, indicating a link-up condition."
Connectivity,Ethernet,vEthernet (ping test between VMs),"A virtual Ethernet (vEthernet) is a software-defined network connection that enables pinging tests between virtual machines (VMs) in a Linux-based automotive system, allowing for efficient communication and diagnostic capabilities."
Connectivity,Ethernet,Supported speed/SerDes modes (RGMII/SGMII/USXGMII 1Gbps/2.5Gbps/10Gbps (loopback)),"The ""Supported Speed/SerDes Modes"" refers to the ability of an Ethernet interface to operate at various speeds and SerDes (Serializer-Deserializer) modes, including RGMII, SGMII, USXGMII, 1 Gbps, 2.5 Gbps, and 10 Gbps, with support for loopback functionality."
Connectivity,Ethernet,Ethernet-IOV (HPT),"Ethernet-IOV (HPT) refers to an Ethernet interface's ability to map multiple hardware queues to a single virtual queue, improving packet processing efficiency and reducing latency in high-performance automotive applications."
Connectivity,Ethernet Multi SoC,Link up (ping test),Link Up (Ping Test): The process of verifying connectivity between two Ethernet devices using ping packets to ensure a successful link establishment and data transfer in an Automotive Ethernet network.
Connectivity,Ethernet Multi SoC,Supported speed,"The term ""Supported speed"" under Connectivity > Ethernet Multi SoC refers to the highest data transfer rate that the system can handle over an Ethernet connection, typically measured in Mbps or Gbps."
Connectivity,Ethernet Multi SoC,PTP,"PTP (Precision Time Protocol) is a network protocol used for synchronizing multiple Ethernet nodes in automotive systems, ensuring accurate and reliable communication over the multi-SOC architecture."
Connectivity,Ethernet Multi SoC,HPT,High-Priority Transmission (HPT) refers to a high-speed Ethernet protocol designed for automotive systems that ensures reliable and timely transmission of critical data between multiple System-on-Chip (SoC) devices in a vehicle.
Connectivity,Ethernet Switch,PRP,A PRP (Primitive Real-time Protocol) is a time-sensitive Ethernet switch protocol designed for automotive applications that ensures predictable and low-latency communication between nodes in the vehicle network.
